Record Name:,Data Broker Registrationses,,,,,,,,,,,,,,,,,
Exported On:,"Jun 4, 2026 11:15 AM",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Registration Number,Full Legal Name,Primary Physical Address,Data Broker Email Address,Website,Consumer Rights Link,Telephone Number,Contact Person,Categories of Data Processed and Transferred,Purchaser Credentialing Process,Data of a Known Child,Data of a Known Child - Additional Details,Data of a Known Child - Law Compliance,Number of Security Breaches,Security Breaches - Additional Details,Additional Information or Explanation,Authorized Person,Authorized Person Title,Submitted On
20260041,"INTERACTIVE DATA, LLC","2650 N MILITARY TRL , BOCA RATON , FL , 33431-6350 , United States",statebasedprivacy@ididata.com,https://www.ididata.com/,https://www.ididata.com/idis-privacy-statement/,8883766659,Alexa Santora,"(1) Identifiers (such as name, alias, address, telephone number, IP address, device information and identifiers, date of birth, and email address.)
(2) Other Personal information (such as employment and employment history, college attended, college graduation date, college major, financial information, and other unique personal identifiers.)
(3) Protected characteristics under federal law (such as age, gender, and marital status.)
(4) Commercial Information (such as records of personal property.)
(5) Internet or other similar network activity (such as information relating to your browser history, search history, online behavior, interest data, and interactions with websites, applications, systems, and advertisements.)
(6) Professional or employment information (such as job title, work history and information, and professional licenses.)
(7) Inferences drawn from other personal information (such as preferences and characteristics determined by websites visited and an individual’s estimated income and/or estimated affluence.)",Yes,No,,,0,,Please see our privacy policy at https://www.ididata.com/idis-privacy-statement/ for details concerning our collection practices.,Alexa Santora,Senior Vice President,1/29/2026
20260040,"Pipl, Inc.","510 S CLEARWATER LOOP , POST FALLS , ID , 83854-6930 , United States",privacy@pipl.com,https://pipl.com,https://pipl.com/resources/privacy-documents/my-information-privacy,4153730180,Gabriel Ronisky,"Publicly available information such as: Name, alias, social media handle, Phone numbers, address, emails, employment.",Yes,No,,,0,,Please see company's Privacy Policy and Data collection practices located at: https://pipl.com/resources/privacy-documents/my-information-privacy,Gabriel Ronisky,General Counsel,1/16/2026
20260039,"Vi Technologies, Inc.","110 East 25th Street, Suite 422 , New York , NY , 10010 , United States",privacy@vi.co,vi.co,https://vi.co/privacy-policy/,6464559355,Joseph Zoccali,"In connection with our services, Vi processes the following categories of data:
Contact information, such as name and email address.
Interests, such as media consumption patterns, search histories, or businesses visited.
Demographic information, such as age, income, education, geographic region, gender, and marital status.
Health data, including propensity to consider certain medical interventions. 
Device information, such as Mobile Advertising ID (MAID) and IP address. 
Geolocation information.
Publicly available information, such as information that available in the public domain or from government public records.
Inferences, which may include conclusions drawn from the information we collect. 

Vi uses this information to provide specialized data science and analytics services and capabilities tailored to organizations in the healthcare sector, such as providers, pharmaceutical companies, and wellness brands
",Yes,No,,,0,,"Vi delivers integrated, specialized data science and analytics capabilities tailored to healthcare organizations, including providers (e.g., hospitals and health systems), pharmaceutical/biopharma companies, and wellness companies. Vi's platform focuses on delivering measurable ROI through enhanced patient activation, engagement, operational efficiency, and outcomes.

Vi collects and processes data from customer sources, publicly available sources, and select trusted third-party partners. We provide clients with tailored audience segments to support retention, outreach, acquisition, and performance objectives - include these segments include mobile advertising identifiers and hashed email addresses.
",Joseph Zoccali,General Counsel,1/31/2026
20260038,Connatix Native Exchange Inc. ,"530 7th Ave., Ste. 1906  , New York , NY , 10018 , United States",privacy@connatix.com,www.jwx.com,https://connatix.com/optout,2122440140,David Pashman,"JWX processes information related to consumer’s activities online and on connected devices, including but not limited to AAID, IDFA, IP address, cookie IDs, CTV IDs, and other pseudonymous IDs, device information, and browser information. You can learn more about our practices by reviewing our privacy policy at https://jwx.com/legal/privacy/.",No,No,,,0,,,David Pashman,General Counsel,2/11/2026
20260037,"Venntel, Inc.","44679 ENDICOTT DR , ASHBURN , VA , 20147-5567 , United States",privacy@venntel.com,https://www.venntel.com/,https://www.venntel.com/privacy-policy,8555455623,Jason Sarfati,"Venntel processes and transfers location data, identifiers, internet or network activity, device user agent data, and demographic data. Venntel also collects information when a consumer browses or submits an inquiry on the Venntel Website, contacts Venntel to request information about its products and services, or applies to a job. ",Yes,No,,,0,,"Venntel places an emphasis on being open and transparent about our data processing activities. Our
team is regularly available to address and discuss any privacy concerns regarding our services. A
copy of our regularly-updated privacy policy is also available on our website.",Jerold Phillips,Privacy Counsel,1/9/2026
20260036,"Unacast, Inc.","44679 ENDICOTT DR , ASHBURN , VA , 20147-5567 , United States",privacy@unacast.com,https://www.unacast.com/,https://www.unacast.com/privacy-policy,7038408850,Jason Sarfati,"Unacast processes and transfers location data, identifiers, internet or network activity, device user agent data, and demographic data. Unacast also collects information when a consumer browses or submits an inquiry on the Unacast Website, contacts Unacast to request information about its products and services, or applies to a job. ",Yes,No,,,1,"On January 4, 2025, we discovered that a person had accessed Gravy Analytics’ AWS cloud storage
environment without authorization. This unauthorized person copied some data stored in certain AWS
buckets and temporarily made a small subset of that data available on a dark web forum. The dark web
is not available through standard search browsers.  

A limited subset of this data, covering primarily a few days around New Year’s 2025, was briefly posted on a dark web forum. The data we license mostly consists of mobile advertising IDs (MAIDs), longitude/latitude, and timestamps. We do not receive information that can directly identify specific people, and we have no reasonable ability to identify any person.","Unacast places an emphasis on being open and transparent about our data processing activities. Our
team is regularly available to address and discuss any privacy concerns regarding our services. A
copy of our regularly-updated privacy policy is also available on our website.",Jerold Phillips,Privacy Counsel,1/9/2026
20260035,Institute for Police Conduct,"5900 BALCONES DR , AUSTIN , TX , 78731-4257 , United States",hello@policeconduct.org,www.policeconduct.org,https://policeconduct.org/legal-notice/privacy,6122089601,Dale Lotts,"Peace Officer Standards and Training (POST) data, police department assignments, civil litigation records, anything related to police conduct and employment",No,No,,,0,,Only publicly available data and protected with reasonable precautions. ,Dale Lotts,Director,1/17/2026
20260034,"Spy Labs AdCo, LLC","1915 21ST ST , SACRAMENTO , CA , 95811-6813 , United States",info@spydialer.com,spydialer.com,https://spydialer.com/privacy.aspx,8668342579,Sierra Irvin,"Identifiers
Characteristics of Protected Classifications Under Applicable State or Federal Law
Property or Business Record Information
Internet or Other Electronic Network Activity Information
Device Information
Geolocation Information
Information Included in Communications with Us
Search Criteria
Inferences Drawn from Any of the Personal Information Identified Above

For additional information on our privacy practices, please see the privacy notices located in the footer of our website.",No,No,,,0,,"To learn about our privacy practices, please check the privacy policy located in the footer of our website.
 
Consumers can exercise their right to opt out of the sale of certain personal information by submitting a request using the methods described on the Do Not Sell page of our site. We do not accept privacy requests received via email. To opt out of the sale or sharing of personal information that occurs through the online collection technologies we use (e.g., cookies), consumers will need to opt out using the cookie banner.",Sierra Irvin,Compliance Manager,1/12/2026
20260033,SemantIQ Inc,"2261 Market Street STE 86944 , San Francisco , CA , 94114 , United States",ops@semantiqhealth.com,https://semantiqhealth.com,https://semantiqhealth.com/privacy-policy,5619339030,SemantIQ Ops,"SemantIQ processes and transfers the following categories of data:
De-identified healthcare claims data, including diagnosis codes, procedure codes, service dates, provider type, and generalized geographic indicators. All healthcare claims data is de-identified in accordance with HIPAA Safe Harbor or Expert Determination and does not constitute Protected Health Information (PHI).Healthcare provider professional information, such as provider name, National Provider Identifier (NPI), specialty, practice affiliation, and practice location at a non-precise geographic level.Aggregated and derived analytics, including statistical summaries, cohort-level insights, modeled outputs, and performance metrics generated from de-identified claims data.Contextual and enrichment data, such as non-precise geographic indicators and socio-economic or social determinants of health (SDOH) attributes, processed only at an aggregated or modeled level.Business and account information related to enterprise customers and authorized users (e.g., name, business contact information, role, and account credentials).SemantIQ does not process, transfer, or sell identifiable patient-level health information, precise geolocation data, biometric data, or sensitive personal data in identifiable form.",Yes,No,,,0,,"SemantIQ operates as an enterprise healthcare analytics and data infrastructure provider. Its platform is designed to enable governed, auditable analysis of de-identified healthcare data for research, planning, and intelligence purposes. The company does not operate a consumer-facing data brokerage, does not re-identify de-identified data, and does not sell Protected Health Information. All data processing is subject to contractual use restrictions, security safeguards, and privacy controls aligned with applicable federal and state privacy laws.",Manik Khanna,CEO & Co-Founder,1/30/2026
20260032,"Inmar Brand Solutions, Inc.","1 W 4TH ST , WINSTON SALEM , NC , 27101-3971 , United States",databroker@inmar.com,inmar.com,https://privacyportal-cdn.onetrust.com/dsarwebform/fa9f2f77-33ff-473b-ae55-579e2e693a91/ea2fadbb-3208-459b-8ed6-c975b6a9901c.html,8007651277,Jeye Gumm,"Inmar processes ""personal data"" as defined in Section 509.001 of the Texas Business and Commerce Code. We also process commercial information such as purchases and purchase history, internet browsing activity, geolocation data, and make inferences from available personal data.",No,No,,,0,,,Jeye Gumm,Privacy Manager,1/28/2026
20260031,Index Exchange Inc.,"8 Spadina Ave. Suite 2900, Toronto, ON M5V 0S8",privacy@indexexchange.com,https://www.indexexchange.com/,https://www.indexexchange.com/privacy/rights-exercising-rights/,14167855908,Jason Cicchetti,"Index Exchange is a global digital advertising marketplace. Our technology and services help our clients (“Publishers” who sell and “Advertisers” who buy advertising inventory) deliver advertising to you by hosting digital auctions that help our clients buy and sell online ads. These ads can be found on websites, mobile applications, or television and streaming services (collectively, “Digital Properties”). To provide these services, we process and transfer the following personal data:
-Cookie IDs: unique identifiers assigned to cookies (small text file stored on your web browser when you visit a website).
-Device advertising IDs: unique identifiers used for advertising purposes on various devices, including mobile devices, Connected TV devices, and others.
-Third-party IDs: unique identifiers that belong to third parties. Third-party IDs may be associated with broad aggregate audience segments and shared with Advertisers to serve more relevant ads to you based on your interests (for example, ads related to sports or fashion).
-Browser and device information: information including, but not limited to, the type and version of your browser, browser settings (such as language and local time), user agent, your IP address, device type (for example, laptop, mobile, TV), model, manufacturer, operating system, and time zone.
-Location information: imprecise geolocation information such as city, country, zip code/postal code, and/or longitude and latitude with less than 2 decimal places. Publishers may choose to provide us with precise geolocation information in the form of longitude and latitude with three or more decimal places.
-Other data provided to Index Exchange: additional information provided to us by, or for, our Publishers to improve Publisher advertising. 
We may process and transfer “Sensitive Data” as that term is defined in the Texas Business and Commerce Code, which may include precise geolocation information, if Publishers provide it to us.",Yes,No,,,0,,,Jason Cicchetti,General Counsel,1/28/2026
20260030,"EverView Holdco, Inc","510 E 96TH ST , INDIANAPOLIS , IN , 46240-4046 , United States",etprivacydb@evertrue.com,www.evertrue.com,https://www.evertrue.com/privacy-policy/,8553878783,Don Sullivan,"Client supplied- Name,  address, email at minimum but they may also include a large number of additional data points that vary from client to client.
We also process publicly accessible and known: giving information, real estate information, wealth information, employment information, and philanthropic interests, etc.",Yes,No,,,0,,,Matt Cowell,Chief Product Officer,2/5/2026
20260029,"Postie, Inc","3616 Far West Blvd, STE 117 #103 , Austin , TX , 78731 , United States",legal@postie.com,https://postie.com,https://postie.com/your-privacy-choices/,8889924935,Jonathan Neddenriep,"Data processed includes postal address, consumption and behavioral features, demographics including income, gender, and age. Of note, Postie does NOT store, collect, or process biometric data, genetic data, precise geolocation data, an individual's private communication, or financial account numbers.",No,No,,,0,,,Jonathan Neddenriep,CTO,1/21/2026
20260028,"National Opinion Institute, LLC","4111 E 37TH ST N , WICHITA , KS , 67220-3203 , United States",privacy@nationalopinioninstitute.com,https://nationalopinioninstitute.com/,https://nationalopinioninstitute.com/disclosures/,8449004722,Lisa Wetzel,"Contact Information: Name, address, telephone number, email, state and county voter registration IDs. 
Employment Data: company name, job title, and an income range.
Consumer preference data: purchased from third party providers and directly from consumers in survey responses
",Yes,No,,,0,,"National Opinion Institute does not publicly post information online and performs due diligence before allowing third parties to access its products and services. National Opinion Institute contractually requires third parties accessing its products and services to comply with the law, including applicable data protection laws, and industry standards and guidelines. Additional information about data collecting practices can be found at https://nationalopinioninstitute.com/privacy/.",Lisa Wetzel,Director Data Services,1/12/2026
20260027,"Babel Street, Inc.","1900 RESTON METRO PLZ , RESTON , VA , 20190-5952 , United States",privacy@babelstreet.com,babelstreet.com,https://www.babelstreet.com/privacy,7039563572,Preston Bukaty,"Babel Street products make a variety of publicly and commercially available data sources and search tools available to customers, who then decide which sources to search. Babel Street’s customers actively design, select and initiate searches of publicly and commercially available information based on the purposes relevant to their organizations’ goals and missions, and subject to any applicable legal requirements. Babel Street is not a bulk data provider. It acts at the customer’s direction, and the customer determines whether and how to process, retain, and delete any data that it retrieves through its searches.

Customers can retrieve information through their use of Babel Street products, such as:

-Information from publicly and commercially available data sources, including: news outlets, blogs, message boards, consumer sites, social media platforms, and traditional web or deep and dark web searches
-Other information which customers may choose to search for using our Products, including identification and background information, interactions through online platforms, interests, professional and personal data, posts and user sentiment
-Any data collected by customers will be dependent on the nature of information available online at the time of the search, along with the data sources selected by the customer and the design of the customer’s search. This may include name and contact details (e.g., location/address, email address, phone number, etc.), citizenship status, marriage status, employment history, birth date, educational history, job title(s), criminal background, and/or location data.

If a Babel Street customer searches for personal information, the customer contractually represents to Babel Street that his or her organization has the authority to conduct such searches and retrieve any associated data.",Yes,No,,,0,,,Preston Bukaty,Privacy & Compliance Specialist,1/27/2026
20260026,Plug Chargers LLC,"4515 N SANTA FE AVE , OKLAHOMA CITY , OK , 73118-7901 , United States",blakehogan@plug-industries.com,www.plug-industries.com,https://plug-industries.com/opt-out,7135153694,Blake Hogan,"Data used for marketing purposes- name, address",No,No,,,0,,,Linda Pevehouse,Manager of Compliance,2/10/2026
20260025,Rickenbacher Data LLC,"131 E VIEW CT , DOUBLE OAK , TX , 75077-3033 , United States",SALES@DATAMASTERS.ORG,www.datamasters.org,https://www.datamasters.org/opt-out/,4693281160,david Rickenbacher,"https://www.datamasters.org/privacy-policy/

Consumer Data and Business Data for Direct Marketing ",Yes,No,,,0,,"Datamasters is a Reseller of Data for Direct Mail Purposes and does not Compile, Maintain or House any Consumer Related Data and Deletes all consumer Data within 30 days of Delivery to cusotmer.",David Rickenbacher,Owner,1/28/2026
20260024,"Vistar Media, Inc. ","625 AVENUE OF THE AMERICAS, 2nd Fl. , NEW YORK , NY , 10011-2020 , United States",privacy@vistarmedia.com,https://www.vistarmedia.com ,https://www.vistarmedia.com/privacy-choices  ,6467807607,Fazim Bacchus,"We provide the Services using personal information obtained from third parties, such as our clients, data suppliers, and measurement partners. We may process the following types of personal information in the course of providing the Services:

Device Information: We may receive information such as device identifiers, mobile advertising identifiers, and device type. We may also receive information regarding devices that presented or were near Vistar-facilitated advertisements.
Demographic Information: We may receive demographic information, such as information about income or age range and household locations, associated with device identifiers.
Device Location Histories: We may receive device location histories associated with device identifiers.
Commercial Activity and Preferences: We may receive information about commercial activity, such as preferences such as buying preferences, associated with device identifiers. We may also receive survey responses tied to device or other unique identifiers.
The Services do not require – and we do not aim to collect – information that directly reveals an individual’s identity, such as name or email address.",Yes,No,,,0,,N/A,Fazim Bacchus,"SVP, General Counsel, Data Protection Officer",1/30/2026
20260023,Intent IQ LLC,"250 BROADWAY , NEW YORK , NY , 10007-2585 , United States",eitan.krasner@intentiq.com,www.intentiq.com,https://www.intentiq.com/opt-out/,972545657165,Eitan Krasner,"We are processing IP, user agent, Hashed Emails and browsing history which is used to build an identity graph. this identity graph is used to enrich ad tech interactions ",Yes,No,,,0,,"We are operating under SOC2, this is our trust center link https://intentiq-com.trustcenter.scytale.ai/
In addition we are registered as data brokers also in CCPA, Vermont, UK, GDPR and Oregon ",Eitan Krasner,VP of Product Management ,1/25/2026
20260022,"Circana, LLC","203 N LA SALLE ST , CHICAGO , IL , 60601-1228 , United States",privacy@circana.com,www.circana.com,https://privacyportal.onetrust.com/webform/95580356-b46a-4234-8f47-d824de4dbbc6/2de05774-2e3d-45b0-a7c2-45bb6ba50ab1,3127261221,Victor DeLorenzo,"In its capacity as a data broker, Circana, LLC processes and transfers  the following categories of personal data: demographic data (such as age, sex, date of birth, zip code, gender, marital status, education level, occupation, household income, household size and composition, race, ethnicity, religion, and health and wellness data), information about consumers’ purchasing and consumption habits and preferences, and information about ads consumers may have viewed.",Yes,No,,,0,,"On September 30, 2025, Circana, LLC merged with NC Ventures, LLC. This data broker registration reflects the relevant data broker processing activities of the new Circana, LLC entity post-merger.",Victor DeLorenzo,"VP, Chief Data Privacy Officer",1/29/2026
20260021,"DB SUB, LLC","1209 N ORANGE ST , WILMINGTON , DE , 19801-1120 , United States",josh.torres@partech.com,https://partech.com/dbsubllc,https://partech.com/dbsubllc,3157438273,Josh Torres,"Identifiers, such as name, postal and email address, telephone number, and other contact information, and online identifiers such as device IDs and IP addresses; Commercial Information, including your purchase history and data about your purchasing tendencies; Internet or Other Network Activity, including information regarding your interaction with a website; Geolocation Data (but not precise geolocation data) for retail locations where purchases were made;  and Professional or Employment Information, including your industry sector or segment and salary range; Education Information, including your education level; and Inferences that have been drawn from the above-listed information.",Yes,No,,,0,,,Josh Torres,"Vice President, Information Security & Privacy",1/14/2026
20260020,IDMAP INC,"8 THE GRN NUM 20070 , DOVER , DE , 19901-3618 , United States",michael.belsky@idmap.ai,idmap.ai,https://idmap.ai/privacy-policy.html,7757667006,Ashfaq Rahman,"Ip addresses, maid, precise geolocation, internet activity",Yes,No,,,0,,,Zane Witherspoon,Authorized Registrant,1/27/2026
20260019,Visual Visitor LLC,"7400 BAYMEADOWS WAY , JACKSONVILLE , FL , 32256-6839 , United States",privacy@visualvisitor.com,visualvisitor.com,https://www.visualvisitor.com/legal-agreements/,6784967895,Mark Ihlenburg,"Names, addresses, emails, phone numbers, income range, work history, IP Address, Internet Activity",No,No,,,0,,,Superset Labs,Authorized Registrant,1/25/2026
20260018,Global Source Data Solutions Inc,"3410 GALT OCEAN DR 2103N , FORT LAUDERDALE , FL , 33308-7280 , United States",privacy@gsdsi.com,gsdsi.com,https://gsdsi.com/privacy,9542707722,Andrew Marcus,"Names, addresses, email addresses, phone numbers, precise geolocation, Mobile Advertising ID, DoB, Financial Data, internet activity, VINs, citizenship data, union membership data, sexual identity",No,No,,,0,,,Superset Labs,Authorized Registrant,1/20/2026
20260017,"IQVIA Digital, Inc. ","100 IMS DR , PARSIPPANY , NJ , 07054-2957 , United States",privacyofficer@iqvia.com,https://www.iqviadigital.com/,https://privacyportal.onetrust.com/webform/07e8dc4d-6686-403e-9b11-39fe7347d2f4/2f999bd2-c826-498c-a504-894eaf543b6f,8662674479,Kim Gray,"Research Studies-Related Information. We use research study participants’ Personal Information to carry out study-related services and pharmacovigilance. 

Human Resources-Related Information. We process Company Personnel’s Personal Information to carry out human resources functions. We process job applicants’ Personal Information to evaluate their suitability for positions. 

Business Contacts. We collect contact information for business contacts. 

Health Care Professionals. We collect information about health care professionals from the professionals, public sources, and business partners. 

Customers and Program Participant Information. For Individuals sharing Personal Information to inquire about our products or services or receive information, we use such information to provide the requested products, services, or information. 

Data Analytics Functions. We obtain and process information about Individuals for data analytics purposes. 

Marketing and Advertising Services. We use Personal Information that we collect ourselves and through data licensors, information from websites or devices, web and mobile logs, and connected device data, to provide marketing and advertising services to customers.

Our commercial purposes. We may choose to rent, release, disclose, disseminate, make available, or sell your Personal Information or Sensitive Personal Information (including, for example, Data Segments; name, address, and email address information, along with information about your likely consumer preferences, interests, or demographics; information that we or our business partners collect passively through websites or mobile devices (or other devices) including cookie IDs, Apple mobile IDFA identifiers and Android mobile Advertising IDs, or unique identifiers tied to those identifiers; and web and mobile log data) to our business partners, affiliates, parents, subsidiaries, and successors in return for monetary or other valuable consideration.
",Yes,No,,,0,,Additional information about our privacy practices can be found at https://www.iqvia.com/about-us/privacy.,Kim Gray,Chief Privacy Officer,1/27/2026
20260016,Gigabite Inc,"252 NW 29TH ST , MIAMI , FL , 33127-3902 , United States",privacy@boam.com,https://boam.ai/,https://boam.ai/privacy-policy,4086135720,Stuart Murless,"Name, Email address, Address, Phone number and Age

",Yes,No,,,0,,,Stuart Murless,CFO,1/22/2026
20260015,Outkeep LLC,"404 WATERWAY DR , LEXINGTON , NC , 27292-7849 , United States",george.linville@outkeep.com,www.outkeep.com,https://outkeep.com/legal/,7042315073,George Linville,"Outkeep processes and transfers business-to-business professional contact and firmographic information for commercial marketing and analytics purposes. Data categories include:
	•	Business contact information, such as name, professional title, employer, business email address, and business phone number
	•	Company and firmographic information, such as company name, industry, size, location, and publicly available business attributes
	•	Professional profile and employment information derived from public or licensed sources
	•	Inferred business attributes used for audience segmentation and analytics
	•	Technical and usage metadata related to platform access and service delivery

Outkeep does not intentionally collect or process sensitive personal data, biometric data, health data, financial account data, or data of known minors. Outkeep’s services are intended exclusively for business-to-business use.",Yes,No,,,0,,,George Linville,CEO,1/9/2026
20260014,"Aristotle International, Inc.","205 PENNSYLVANIA AVE SE , WASHINGTON , DC , 20003-1164 , United States",david.mason@aristotle.com,www.aristotle.com,https://www.aristotle.com/privacy/,2025537303,David Mason,"Name, address, email, phone number, date of birth, consumer preferences, demographic characteristics, issue interests, residence type, home value, voter data (use restricted per Section 18.066 of Texas Election Code), age (may be inferred), education, gender, income and net worth (by category, inferred), auto ownership, recent address changes.",Yes,No,,,0,,"Aristotle requires our data sources to certify that they have collected data permissibly, with consumer
consent where required. We vet our data sources to ensure they are reputable and reliable as to their
assurances. Aristotle requires data recipients to comply with all applicable laws and data use restrictions
and to store data securely. Use restrictions for restricted data are stated specifically in contracts. Aristotle
investigates potential data recipients to ensure that they are reputable and, for restricted data categories
such as voter data, that they are eligible recipients (such as campaigns and political parties).",David Mason,General Counsel,1/9/2026
20260013,AggKnowledge Inc.,"271A 22ND ST , BROOKLYN , NY , 11215-6589 , United States",privacy@aggknowledge.ai,aggknowledge.ai,https://www.aggknowledge.ai/privacypolicy,9172832477,Jonathan Zajac,"Aggknowledge collects contact information like name, phone number, email",No,No,,,0,,,Zane Witherspoon,Authorized Registrant,1/8/2026
20260012,"Response America Data, Inc.","3515 WEDGEWOOD LN SUITE 110 , THE VILLAGES , FL , 32162-7187 , United States",ncoa@responseamerica.net,responseamerica.net,https://responseamerica.net/privacy_dec.html,8149359796,Spencer Wiggins,"DoB, MAID, Ip Address, internet activity",No,No,,,0,,,Zane Witherspoon,Authorized Registrant,1/28/2026
20260011,"Key Marketing Advantage, LLC","7 EDMUND RD , NEWTOWN , CT , 06470-1650 , United States",lbridson@keymarketingadvantage.com,www.keymarketingadvantage.com,https://keymarketingadvantage.com/do_not_use_my_personal_information         https://keymarketingadvantage.com/privacy_policy,2034912200,Linda Carriere,"KMA uses data to create prospect lists for major advertisers to solicit consumers via direct mail and email. We generate the list of just the consumers name and address.  We do not deal in PII, sensitive data, Biometric Data, Children under 18, etc.",Yes,No,,,0,,"Since inception, KMA has taken data privacy, security and consumers rights very seriously, We address any complaint or request to delete information immediately and comply with all Industry regulations for compliance.  We service only reputable (vetted) advertisers for their customer acquisition marketing.

KMA does not collect data, we obtain data from data compilers. We use that data for customer acquisition for Advertisers and we only output name and address.",Linda Carriere,Owner,1/28/2026
20260010,Lara Agency Inc,"1880 S DAIRY ASHFORD RD , HOUSTON , TX , 77077-4854 , United States",larafinancial@gmail.com,https://agents.farmers.com/tx/houston/jose-lara/?SourceID=AMPALFGMAG&utm_medium=Local&utm_source=GMB,https://agents.farmers.com/tx/houston/jose-lara/?SourceID=AMPALFGMAG&utm_medium=Local&utm_source=GMB,7132780557,Jose Lara,The data processed is insurance proposals are provided to consumers who went online to request an insurance proposal. The consumers are contacted and provided with the online insurance proposal they requested online. ,No,No,,,0,,,Jose Lara,Owner,1/2/2026
20260009,"Digital Viking Media, Inc","13681 NEWPORT AVE , TUSTIN , CA , 92780-4689 , United States",privacy@digitalvikingmedia.com,www.digitalvikingmedia.com,https://www.digitalvikingmedia.com/privacy-policy,5032030001,Jen Harold,Consumer contact data that have opted into advertising campaigns,Yes,No,,,0,,Not applicable,Tara Hamilton,Director of Revenue,1/12/2026
20260008,Titan Locators,"11402 Tara Pl , Pearland , TX , 77584 , United States",benlarocca626@gmail.com,https://secondchanceapartments.com/,https://secondchanceapartments.com/privacy-policy/,8327314878,Benjamin LaRocca,"As part of our operations, we collect, process, and transfer the following categories of consumer data, which may include:

Identifiers: Name, phone number, email address, and mailing address

Demographic Information: Age range, marital status, and household composition (if disclosed)

Commercial Information: Purchase history, intent to buy or lease property, or expressed interest in related services (e.g. legal assistance, moving, insurance)

Internet or Electronic Activity: Information submitted through consumer-facing web forms, metadata from inquiries, and opt-in web activity related to requested services

All data is collected through consensual and transparent means, including online lead forms and third-party partners who comply with all privacy laws. We do not collect data on minors, nor do we engage in scraping or unauthorized data acquisition.

The data is used strictly to match consumers with services or products they have explicitly expressed interest in and may be shared only with vetted partners in real estate, credit repair, insurance, and related industries.
",Yes,No,,,0,,"Our data collection practices are limited exclusively to high-intent consumer leads generated through fully opt-in web forms and inquiries. These inquiries are related to services such as housing, credit repair, and financial products. We do not collect data from minors, nor do we engage in automated scraping or purchase third-party lists. All collected data is securely stored and only shared with vetted purchasers who meet our internal compliance criteria. We maintain a strict policy of transparency, data integrity, and privacy compliance in accordance with Texas regulations.",Benjamin LaRocca,Owner & Data Broker,1/5/2026
20260007,TargetSmart Communications LLC,"5301 S KIRKMAN RD , ORLANDO , FL , 32819 , United States",gerald.allen@targetsmart.com,www.targetsmart.com,https://targetsmart.com/about-targetsmart/support-center/privacy-policy/,2025073103,Gerald Allen,"Identifiers, data collected from our websites, data collected from prospective or existing clients, commercial information, internet or electronic network activity, geolocation data, professional or employment-related information, educational information, and inferences drawn from data about predicted characteristics and preferences.",Yes,No,,,0,,TargetSmart's data privacy and collection practices are extensively outlined on the TargetSmart Privacy Policy website at https://privacy.targetsmart.com.,Gerald Allen,General Counsel,1/5/2026
20260006,CTAM LeadShare Corp,"2000 DUKE ST , ALEXANDRIA , VA , 22314-6116 , United States",zell@ctam.com,www.smartmove.us,www.smartmove.us,3014858933,Zell Murphy,"We collect information about you that is provided by you to us or a Cable Provider or Service Provider, such as your name, address, telephone numbers, e-mail addresses and other information that can identify you as a specific individual (""Information"").  ",No,No,,,0,,"Information Collected About You
We collect information about you that is provided by you to us or a Cable Provider or Service Provider, such as your name, address, telephone numbers, e-mail addresses and other information that can identify you as a specific individual (""Information""). On those pages of the Website where Information is collected in order for you to purchase or request further information about a product or service, we describe what information is required in order to provide you with the product, service or information that you have requested. We do not knowingly collect information from children under 13. If a Service Provider requires a birth date to order a specific product or service, you may not be able to enter a birth date that indicates that you are less than 13 years old. We collect Information when you:

Become authorized to use the Website
Purchase a product or service
Request further information regarding a product or service
Disconnect a service
Contact us",Zell Murphy,Chief Financial Officer,1/5/2026
20260005,Statara Solutions LLC,"502 SILVERSIDE RD , WILMINGTON , DE , 19809-1318 , United States",gerald.allen@statara.com,https://statara.com/,https://statara.com/privacy/,2025073103,Gerald Allen,"Personal identifiers, device information, information about those individuals that visit our websites, information regarding current and prospective clients, commercial information, internet or other electronic network activity, professional or employment information, and inferences drawn from this data.",Yes,No,,,0,,Statara's data privacy and collection practices are extensively outlined in Statara's Privacy Policy website at https://statara.com/privacy/. ,Gerald Allen,General Counsel,1/5/2026
20260004,Analyze Corporation,"3554 CHAIN BRIDGE RD , Sterling , VA , 20164 , United States",ed@analyzecorp.com,analyzecorp.com,https://www.analyzecorp.com/privacy-policy/,7037853737,EDWARD LORENZINI,"The Analyze360 consumer sociomeetric dataset is an aggregated consumer mailing list with the following information for approximately 220m US adults:

Name, Address, Telephone Number and, in some instances, email address
Age, Homeowner Status, Income (Modeled by Census Tract), Net Worth (Modeled)
175 consumer buying preferences sourced from surveys and magazine subscriptions (e.g. watches tv sports, owns a pet, travels for fun. Full list at analyzecorp.com)

Data files are sourced from other online data brokers: Select Phone Data, Experian, InfoUSA.

Analyz360's sofware-as-a-service customers can use the database to find lookalike audiences for marketing purposes. The platform supplies mailing list contact information for these lookalike audiences.",Yes,No,,,0,,,Edward Lorenzini,CEO,1/5/2026
