license_no|profession_name|license_type_name|full_name|addr_phone|doing_business_as|addr_line_4|license_status_name|expiration_date|
DATA-00252|DFR-Data Broker|Data Broker|COGNISM INC|6503725001|N/A|Boston MA  02110|Active|12/31/2026 12:00:00 AM|
DATA-00254|DFR-Data Broker|Data Broker|J2 MARTECH CORP|2125033500||New York NY  10010|Active|12/31/2026 12:00:00 AM|
DATA-00255|DFR-Data Broker|Data Broker|J2 GLOBAL CANADA INC|2125033500||Ottawa K1z 8P4|Active|12/31/2026 12:00:00 AM|
DATA-00256|DFR-Data Broker|Data Broker|LEAD ME MEDIA LLC|5615040704||Boca Raton FL  33432-2737|Active|12/31/2026 12:00:00 AM|
DATA-00257|DFR-Data Broker|Data Broker|EXPLORIUM INC|4454563349||Redwood city CA  94063|Active|12/31/2026 12:00:00 AM|
DATA-00258|DFR-Data Broker|Data Broker|ZS ASSOCIATES INC|8474923600||Chicago IL  60654|Active|12/31/2026 12:00:00 AM|
DATA-00259|DFR-Data Broker|Data Broker|WEST PUBLISING CORPORATION|6516877000|West Publishing Corp|SAINT PAUL MN  55121|Active|12/31/2026 12:00:00 AM|
DATA-00260|DFR-Data Broker|Data Broker|ACTIVIMPACT LLC|7074844836|ActivImpact|las VEGAS NV  89119|Active|12/31/2026 12:00:00 AM|
DATA-00261|DFR-Data Broker|Data Broker|33ACROSS INC|8882974094||SALEM OR  97301|Active|12/31/2026 12:00:00 AM|
DATA-00262|DFR-Data Broker|Data Broker|EAB GLOBAL INC|2027471000||WASHINGTON DC  20037|Active|12/31/2026 12:00:00 AM|
DATA-00264|DFR-Data Broker|Data Broker|STIRISTA|2102930029|Stirista|SAN ANTONIO TX  78258|Active|12/31/2026 12:00:00 AM|
DATA-00265|DFR-Data Broker|Data Broker|RICH MEDIA LLC|9542921013||POMPANO BEACH FL  33076|Active|12/31/2026 12:00:00 AM|
DATA-00266|DFR-Data Broker|Data Broker|PEEKYOU LLC|2022460272|PeekYou LLC|Dulles VA  20147|Active|12/31/2026 12:00:00 AM|
DATA-00267|DFR-Data Broker|Data Broker|UPLEAD LLC|8004934084||Walnut CA  91789|Active|12/31/2026 12:00:00 AM|
DATA-00268|DFR-Data Broker|Data Broker|RELPRO INC|8885617890||SHORT HILLS NJ  07078|Active|12/31/2026 12:00:00 AM|
DATA-00270|DFR-Data Broker|Data Broker|CARDLYTICS INC|8887985802||Atlanta GA  30308|Active|12/31/2026 12:00:00 AM|
DATA-00271|DFR-Data Broker|Data Broker|TRUE BLUE ANALYTICS LLC|7735304378||Chicago IL  60645|Active|12/31/2026 12:00:00 AM|
DATA-00272|DFR-Data Broker|Data Broker|FIRST MOVERS ADVANTAGE LLC|3034432070||Boulder CO  80301|Active|12/31/2026 12:00:00 AM|
DATA-00273|DFR-Data Broker|Data Broker|AMERICAN SPIRIT DATA SOULTIONS LLC|6122252307|Aspire North|Eden Prairie MN  55344|Active|12/31/2026 12:00:00 AM|
"DATA-00274|DFR-Data Broker|Data Broker|REVOPTIMAL LLC|5042302388|RevOptimal, LLC|PORTLAND OR  97239|Active|12/31/2026 12:00:00 AM|"
DATA-00275|DFR-Data Broker|Data Broker|MONEVO INC|7089680230||Chicago IL  60661|Active|12/31/2026 12:00:00 AM|
DATA-00277|DFR-Data Broker|Data Broker|DATASYS GROUP INC|9546603556|Datasys|BOCA RATON FL  33487|Active|12/31/2026 12:00:00 AM|
DATA-00278|DFR-Data Broker|Data Broker|INTENT IQ LLC|6462170930|Intent IQ LLC|Long Island City NY  11101|Active|12/31/2026 12:00:00 AM|
DATA-00279|DFR-Data Broker|Data Broker|5X5 US LLC|5085457902|5x5 US LLC|Austin TX  78702|Active|12/31/2026 12:00:00 AM|
DATA-00280|DFR-Data Broker|Data Broker|ALTAIR DATA RESOURCES INC|6154686882||Brentwood TN  37027|Active|12/31/2026 12:00:00 AM|
"DATA-00282|DFR-Data Broker|Data Broker|HEALTHLINK DIMENSIONS LLC|4042503916|HealthLink Dimensions, LLC|Atlanta GA  30319|Active|12/31/2026 12:00:00 AM|"
DATA-00283|DFR-Data Broker|Data Broker|ZENLEADS INC|9252126350|Apollo.io|DOVER DE  19901|Active|12/31/2026 12:00:00 AM|
DATA-00284|DFR-Data Broker|Data Broker|GREAT LAKES LIST INC|8144493280||Erie PA  16508|Active|12/31/2026 12:00:00 AM|
"DATA-00285|DFR-Data Broker|Data Broker|PARAMOUNT LISTS INC|8007235478|Paramount Lists, Inc.|Erie PA  16508|Active|12/31/2026 12:00:00 AM|"
DATA-00287|DFR-Data Broker|Data Broker|AIDENTIFIED INC|5087356011||Concord MA  01742|Active|12/31/2026 12:00:00 AM|
DATA-00288|DFR-Data Broker|Data Broker|CONVEX LABS LLC|8558990970|Convex Labs|gLENDALE CA  91203|Active|12/31/2026 12:00:00 AM|
"DATA-00289|DFR-Data Broker|Data Broker|STACKADAPT INC|6509993764|StackAdapt Inc.|Toronto, Ontario M5J 2J1|Active|12/31/2026 12:00:00 AM|"
DATA-00291|DFR-Data Broker|Data Broker|KOMODO HEALTH INC|9177658795||new york NY  10010|Active|12/31/2026 12:00:00 AM|
DATA-00292|DFR-Data Broker|Data Broker|VIDEOAMP INC|4242727774|N/A|PLAYA VISTA CA  90094|Active|12/31/2026 12:00:00 AM|
DATA-00296|DFR-Data Broker|Data Broker|APOLLO INTERACTIVE LLC|3108369777||El Segundo CA  90245|Active|12/31/2026 12:00:00 AM|
DATA-00299|DFR-Data Broker|Data Broker|CATALINA MARKETING CORPORATION|8133409335|Catalina Marketing|saint petersburg FL  33716|Active|12/31/2026 12:00:00 AM|
DATA-00300|DFR-Data Broker|Data Broker|REDMOB LLC|5039141035|Redmob|dubai|Active|12/31/2026 12:00:00 AM|
"DATA-00301|DFR-Data Broker|Data Broker|BLIS USA, INC.|8664678688|Blis|bellevue WA  98006|Active|12/31/2026 12:00:00 AM|"
DATA-00302|DFR-Data Broker|Data Broker|MESSAGE DIGITAL LLC|5102008316|N/A|Berkeley CA  94704|Active|12/31/2026 12:00:00 AM|
DATA-00305|DFR-Data Broker|Data Broker|SHARE LOCAL MEDIA INC|9045433803||Floor 23 NY  10005|Active|12/31/2026 12:00:00 AM|
DATA-00306|DFR-Data Broker|Data Broker|DATA DECISIONS GROUP LLC|9842753274|Data Decisions Group|Chapel Hill NC  27516|Active|12/31/2026 12:00:00 AM|
DATA-00308|DFR-Data Broker|Data Broker|INFOPAY INC|8003099351||Boston MA  02110|Active|12/31/2026 12:00:00 AM|
DATA-00309|DFR-Data Broker|Data Broker|FIRST DIRECT INC|4024030000|FIRST DIRECT|Bellevue NE  68005|Active|12/31/2026 12:00:00 AM|
DATA-00310|DFR-Data Broker|Data Broker|QUAD/GRAPHICS INC|4145666000|Quad|Sussex WI  53089|Active|12/31/2026 12:00:00 AM|
DATA-00311|DFR-Data Broker|Data Broker|El TORO.COM LLC|5023530390|El Toro.com LLC|Louisville KY  40202|Active|12/31/2026 12:00:00 AM|
DATA-00312|DFR-Data Broker|Data Broker|CRIMSON HEXAGON INC|3128136633||Chicago IL  60606|Active|12/31/2026 12:00:00 AM|
DATA-00313|DFR-Data Broker|Data Broker|PREQIN INC|2399086257||New york NY  10001-2180|Active|12/31/2026 12:00:00 AM|
DATA-00314|DFR-Data Broker|Data Broker|STERLING DATA COMPANY LLC|2027018709||PORTLAND OR  97239|Active|12/31/2026 12:00:00 AM|
DATA-00315|DFR-Data Broker|Data Broker|EXELATE INC|4107177134||New York NY  10010|Active|12/31/2026 12:00:00 AM|
"DATA-00316|DFR-Data Broker|Data Broker|SEMCASTING INC|9786847580|Semcasting, Inc.|NORTH ANDOVER MA  01845|Active|12/31/2026 12:00:00 AM|"
DATA-00317|DFR-Data Broker|Data Broker|LIONSHARE MARKETING INC|9136318400||Lenexa KS  66214|Active|12/31/2026 12:00:00 AM|
DATA-00318|DFR-Data Broker|Data Broker|DISCO TECHNOLOGY INC|6149051661|Disco Technology Inc|San Francisco CA  94114|Active|12/31/2026 12:00:00 AM|
DATA-00319|DFR-Data Broker|Data Broker|COMPLETE MAILING LISTS LLC|9147713120||White Plains NY  10601|Active|12/31/2026 12:00:00 AM|
"DATA-00320|DFR-Data Broker|Data Broker|MISSSISSIPPI TORNADO ALLEY LLC|9167755668|FastPplSearch, USPhonebook, SearchPeopleFree, USA-People-Search,AdvancedBackgroundChecks, SmartBackgroundChecks,CyberBackgroundChecks,|Sacramento CA  95811|Active|12/31/2026 12:00:00 AM|"
DATA-00321|DFR-Data Broker|Data Broker|FORAGER.AI LLC|8182826243||PORTLAND OR  97239|Active|12/31/2026 12:00:00 AM|
DATA-00322|DFR-Data Broker|Data Broker|CDK GLOBAL LLC|3122060352|CDK Global|Austin TX  78758|Active|12/31/2026 12:00:00 AM|
DATA-00323|DFR-Data Broker|Data Broker|REKLAIM LTD|4164603329||portland OR  97239|Active|12/31/2026 12:00:00 AM|
DATA-00324|DFR-Data Broker|Data Broker|FREE DATA SERVICES LLC|8888384803||Sacramento CA  95811|Active|12/31/2026 12:00:00 AM|
DATA-00325|DFR-Data Broker|Data Broker|FAMILY TREE NOW LLC|8778384889||Sacramento CA  95811|Active|12/31/2026 12:00:00 AM|
DATA-00326|DFR-Data Broker|Data Broker|COMPLETE MEDICAL LISTS INC|6038238042||Franconia NH  03580|Active|12/31/2026 12:00:00 AM|
DATA-00327|DFR-Data Broker|Data Broker|DECISIONLINKS LLC|8003432955||Austin TX  78701|Active|12/31/2026 12:00:00 AM|
DATA-00328|DFR-Data Broker|Data Broker|CONSUMER CANVAS LLC|2122405403|CONSUMER CANVAS|chicago IL  60606|Active|12/31/2026 12:00:00 AM|
DATA-00329|DFR-Data Broker|Data Broker|POSSIBLENOW INC|7702551020|N/A|duluth GA  30096|Active|12/31/2026 12:00:00 AM|
DATA-00330|DFR-Data Broker|Data Broker|ALTRATA INC|8773145147||New York NY  10020|Active|12/31/2026 12:00:00 AM|
DATA-00331|DFR-Data Broker|Data Broker|JDM LIST SERVICES LLC|3472130076||New York NY  10026|Active|12/31/2026 12:00:00 AM|
"DATA-00333|DFR-Data Broker|Data Broker|INTENTSIFY LLC|5085457902|Intentsify, LLC|Westwood MA  02090|Active|12/31/2026 12:00:00 AM|"
DATA-00334|DFR-Data Broker|Data Broker|EMERGES.COM INCORPORATED|4103536894|eMerges.com|Annapolis MD  21401|Active|12/31/2026 12:00:00 AM|
DATA-00335|DFR-Data Broker|Data Broker|POSTPILOT INC|5712283365||Spartanburg SC  29303|Active|12/31/2026 12:00:00 AM|
DATA-00336|DFR-Data Broker|Data Broker|INSTITUTIONAL SHAREHOLDER SERVICES|3015560357||Rockville MD  20850|Active|12/31/2026 12:00:00 AM|
DATA-00337|DFR-Data Broker|Data Broker|DATE DETECTIVE INC|3025502202|Date Detective|Dover DE  19901|Active|12/31/2026 12:00:00 AM|
DATA-00338|DFR-Data Broker|Data Broker|MEDIA RESOURCE GROUP LLC|9146495649|Media Resource Group LLC|Naples FL  34109|Active|12/31/2026 12:00:00 AM|
DATA-00339|DFR-Data Broker|Data Broker|COMMAND PRECISION INC|7815529594|Persistent.id|Boston MA  02110|Active|12/31/2026 12:00:00 AM|
DATA-00340|DFR-Data Broker|Data Broker|FARADAY INC|8024580441||Waterbury center VT  05677|Active|12/31/2026 12:00:00 AM|
DATA-00341|DFR-Data Broker|Data Broker|ACRONYMIX LLC|0000000000||BOCA RATON FL  33433|Active|12/31/2026 12:00:00 AM|
"DATA-00342|DFR-Data Broker|Data Broker|MULTIMEDIA LISTS INC|2564685478||Alpharetta, GA GA  30009|Active|12/31/2026 12:00:00 AM|"
DATA-00343|DFR-Data Broker|Data Broker|PLACEIQ INC|9784368900|PlaceIQ|Burlington MA  01803|Active|12/31/2026 12:00:00 AM|
DATA-00344|DFR-Data Broker|Data Broker|RAMPEDUP|8882783433||PORTLAND OR  97239|Active|12/31/2026 12:00:00 AM|
"DATA-00346|DFR-Data Broker|Data Broker|KEY MARKETING ADVANTAGE LLC|2034912200|Key Marketing Advantage, LLC|Newtown CT  06470|Active|12/31/2026 12:00:00 AM|"
DATA-00347|DFR-Data Broker|Data Broker|LOOPME LTD|000000000||New York NY  10003|Active|12/31/2026 12:00:00 AM|
DATA-00348|DFR-Data Broker|Data Broker|VISUAL VISITOR LLC|4049774899|VisualVisitor.com|JACKSONVILLE FL  32256|Active|12/31/2026 12:00:00 AM|
DATA-00349|DFR-Data Broker|Data Broker|BDEX LLC|9174106616||SALEM OR  97301|Active|12/31/2026 12:00:00 AM|
DATA-00350|DFR-Data Broker|Data Broker|ADEPT ID INC|7819154660|AdeptID|Boston MA  02110|Active|12/31/2026 12:00:00 AM|
DATA-00351|DFR-Data Broker|Data Broker|LISTKIT LLC|2727882122||DOVER DE  19901|Active|12/31/2026 12:00:00 AM|
DATA-00352|DFR-Data Broker|Data Broker|THE SEGERDAHL LLC|8475411080|SG360°|Wheeling IL  60090|Active|12/31/2026 12:00:00 AM|
DATA-00354|DFR-Data Broker|Data Broker|MEDPRO SYSTEMS|9733987800|MedPro Systems LLC|MOUNT ARLINGTON NJ  07856|Active|12/31/2026 12:00:00 AM|
"DATA-00355|DFR-Data Broker|Data Broker|DEMAND SCIENCE US LLC|18577701744|Demand Science US, LLC|Danvers MA  01923|Active|12/31/2026 12:00:00 AM|"
DATA-00356|DFR-Data Broker|Data Broker|GENERAL MOTORS LLC|3136654898||DETROIT MI  48265|Active|12/31/2026 12:00:00 AM|
"DATA-00358|DFR-Data Broker|Data Broker|WINR DATA B V|0414523064|WINR Data B.V.|Amsterdam, Netherlands|Active|12/31/2026 12:00:00 AM|"
"DATA-00359|DFR-Data Broker|Data Broker|NEXXEN INC|7188874845|Nexxen, Inc.|REDWOOD CITY CA  94065|Active|12/31/2026 12:00:00 AM|"
"DATA-00361|DFR-Data Broker|Data Broker|LOB.COM INC.|4158949979|Lob.com, Inc.|san francisco CA  94114|Active|12/31/2026 12:00:00 AM|"
"DATA-00362|DFR-Data Broker|Data Broker|LIGHTBOX PARENT LP|9495846204|LightBox Parent, L.P.|Shelton CT  06484|Active|12/31/2026 12:00:00 AM|"
DATA-00363|DFR-Data Broker|Data Broker|PROJECT AFFINITY INC|6282633645|Affinity|SAN FRANCISCO CA  94134|Active|12/31/2026 12:00:00 AM|
DATA-00364|DFR-Data Broker|Data Broker|TUNNL LLC|6189201418||Arlington VA  22201|Active|12/31/2026 12:00:00 AM|
DATA-00365|DFR-Data Broker|Data Broker|BUXTON COMPANY LLC|8173323681||Fort Worth TX  76137|Active|12/31/2026 12:00:00 AM|
DATA-00368|DFR-Data Broker|Data Broker|01ADVERTISING INC|9496099797||LAGUNA NIGUEL CA  92677|Active|12/31/2026 12:00:00 AM|
DATA-00369|DFR-Data Broker|Data Broker|AWL HOLDINGS LLC|8885227355||AUSTIN TX  78729|Active|12/31/2026 12:00:00 AM|
DATA-00370|DFR-Data Broker|Data Broker|BUXTON COMPANY LLC|8173323681||fort worth TX  76137|Active|12/31/2026 12:00:00 AM|
DATA-00371|DFR-Data Broker|Data Broker|FUSABLE|2052481374|Fusable|Tuscaloosa AL  35406|Active|12/31/2026 12:00:00 AM|
DATA-00372|DFR-Data Broker|Data Broker|GRAZE SOCIAL PBC|5033192931||Portland OR  97213|Active|12/31/2026 12:00:00 AM|
DATA-00373|DFR-Data Broker|Data Broker|SUMMIT RESOURCES LLC|7707770122|Client Command|CUMMING GA  30041|Active|12/31/2026 12:00:00 AM|
DATA-00375|DFR-Data Broker|Data Broker|ROCKETREACH LLC|8332123828|No|PORTLAND OR  97239|Active|12/31/2026 12:00:00 AM|
DATA-00376|DFR-Data Broker|Data Broker|ECONTEXT.AI LIMITED|8722152068|Complementics|Chicago IL  60654|Active|12/31/2026 12:00:00 AM|
"DATA-00377|DFR-Data Broker|Data Broker|JUICEBOX APP|4435389591|Juicebox App, Inc.|San Francisco CA  94107|Active|12/31/2026 12:00:00 AM|"
DATA-00378|DFR-Data Broker|Data Broker|SHARETHROUGH USA INC|4383008600|Sharethrough|NEW YORK NY  10018|Active|12/31/2026 12:00:00 AM|
DATA-00379|DFR-Data Broker|Data Broker|BARON APP INC|8557701024||Chicago IL  60607|Active|12/31/2026 12:00:00 AM|
DATA-00380|DFR-Data Broker|Data Broker|BROOKS INTEGRATED MARKETING LLC|8005312601||BONITA SPRINGS FL  34134|Active|12/31/2026 12:00:00 AM|
DATA-00382|DFR-Data Broker|Data Broker|DATAFY LLC|8012526588||OGDEN UT  84403|Active|12/31/2026 12:00:00 AM|
DATA-00383|DFR-Data Broker|Data Broker|HELIX CAMPAIGNS LLC|4435846567|Helix Campaigns LLC|Washington DC  20005|Active|12/31/2026 12:00:00 AM|
"DATA-00384|DFR-Data Broker|Data Broker|TRUEDATA SOLUTIONS INC|4154899252|TrueData Solutions, Inc.|Owasso OK  74055|Active|12/31/2026 12:00:00 AM|"
DATA-00385|DFR-Data Broker|Data Broker|SWARM HOLDINGS INC|4153669903||Montara CA  94037|Active|12/31/2026 12:00:00 AM|
DATA-00387|DFR-Data Broker|Data Broker|ACCURATE APPEND INC|8336634646||Bellevue WA  98004|Active|12/31/2026 12:00:00 AM|
DATA-00388|DFR-Data Broker|Data Broker|VISTAR MEDIA INC|6467807607|Vistar Media Ince.|BELLEVUE WA  98006|Active|12/31/2026 12:00:00 AM|
DATA-00389|DFR-Data Broker|Data Broker|OPTABLE TECHNOLOGIES US INC|4388785517|Optable||Active|12/31/2026 12:00:00 AM|
DATA-00390|DFR-Data Broker|Data Broker|UPCELL LLC|8555257940|upcell|Boston MA  02109|Active|12/31/2026 12:00:00 AM|
DATA-00391|DFR-Data Broker|Data Broker|AUTOWEB INC|9492254500||WALNUT CREEK CA  94596|Active|12/31/2026 12:00:00 AM|
DATA-00392|DFR-Data Broker|Data Broker|BUYERLINK INC|9259833400||WALNUT CREEK CA  94596|Active|12/31/2026 12:00:00 AM|
DATA-00393|DFR-Data Broker|Data Broker|AUDIENCE MIX LLC|9739320245|AudienceMix|Cheyenne WY  82009|Active|12/31/2026 12:00:00 AM|
DATA-00394|DFR-Data Broker|Data Broker|EFFYIS INC|2483186684|Socialgist|Troy MI  48084|Active|12/31/2026 12:00:00 AM|
DATA-00395|DFR-Data Broker|Data Broker|IRYS INC|3199369044||New york NY  10001|Active|12/31/2026 12:00:00 AM|
DATA-00396|DFR-Data Broker|Data Broker|BACHMANITY INC|3178695671|Aviato|Carmel IN  46033|Active|12/31/2026 12:00:00 AM|
DATA-00397|DFR-Data Broker|Data Broker|INFINITE MEDIA CONCEPTS INCORPORATES|9149488300|Mailinglists.com|White plains NY  10601|Active|12/31/2026 12:00:00 AM|
DATA-00398|DFR-Data Broker|Data Broker|BLUE HILL MARKETING SOLUTIONS|2124020171|LiftEngine|Pearl River NY  10965|Active|12/31/2026 12:00:00 AM|
DATA-00399|DFR-Data Broker|Data Broker|COLLECTORS DATASTORE LLC|6303090204||Chicago IL  60654|Active|12/31/2026 12:00:00 AM|
DATA-00400|DFR-Data Broker|Data Broker|LIVE DATA TECHNOLOGIES INC|8055003293||Santa Barbara CA  93101|Active|12/31/2026 12:00:00 AM|
DATA-00401|DFR-Data Broker|Data Broker|WIZA INC|9172320799||New York NY  10001|Active|12/31/2026 12:00:00 AM|
DATA-00402|DFR-Data Broker|Data Broker|PLUG INDUSTRIES|7135153694||Oklahoma City TX  73118|Active|12/31/2026 12:00:00 AM|
DATA-00404|DFR-Data Broker|Data Broker|ROR PARTNERS LLC|7074844836|ROR Partners|Las Vegas NV  89119|Active|12/31/2026 12:00:00 AM|
"DATA-00405|DFR-Data Broker|Data Broker|SYNC.ME LTD.|0505311695||RAMAT GAN, Israel, 525050|Active|12/31/2026 12:00:00 AM|"
DATA-00406|DFR-Data Broker|Data Broker|INNOVATION BRANDS CORP|5099996010|DojoMojo|new york NY  10012|Active|12/31/2026 12:00:00 AM|
DATA-00407|DFR-Data Broker|Data Broker|CYBBA INC|8572847000|Cybba|BOSTON MA  02210|Active|12/31/2026 12:00:00 AM|
"DATA-00408|DFR-Data Broker|Data Broker|TRIPLE LIFT INC|0180076091|TripleLift, Inc.|New York NY  10003|Active|12/31/2026 12:00:00 AM|"
DATA-00409|DFR-Data Broker|Data Broker|NATIONAL OPINION INSTITUTE|8449004722|N/A|WICHITA KS  67220|Active|12/31/2026 12:00:00 AM|
DATA-00411|DFR-Data Broker|Data Broker|RUSHMORE LABS LLC|8446642552|N/A|WICHITA KS  67220|Active|12/31/2026 12:00:00 AM|
DATA-00412|DFR-Data Broker|Data Broker|MOBILE TECHNOLOGY CORPORATION|7206969935|OnSpot Data|CENTENNIAL CO  80112|Active|12/31/2026 12:00:00 AM|
DATA-00413|DFR-Data Broker|Data Broker|GLOBAL SOURCE DATA SOLUTIONS INC|9542707722||FORT LAUDERDALE FL  33308|Active|12/31/2026 12:00:00 AM|
DATA-00415|DFR-Data Broker|Data Broker|IQVIA DIGITAL INC.|8662674479||PARSIPPANY NJ  07054|Active|12/31/2026 12:00:00 AM|
DATA-00416|DFR-Data Broker|Data Broker|COMMERCE SIGNALS INC|7089680230||Chicago IL  60661|Active|12/31/2026 12:00:00 AM|
DATA-00419|DFR-Data Broker|Data Broker|SPY LABS ADCO LLC|8668342579|SpyDialer|Sacramento CA  95811|Active|12/31/2026 12:00:00 AM|
DATA-00420|DFR-Data Broker|Data Broker|GIGABITE INC|4086135720|Boam AI|Miami-FL FL  33127|Active|12/31/2026 12:00:00 AM|
"DATA-00421|DFR-Data Broker|Data Broker|DB SUB, LLC|3157438273|DB SUB, LLC|New Hartford NY  13413|Active|12/31/2026 12:00:00 AM|"
DATA-00422|DFR-Data Broker|Data Broker|TAGIS INC|6502006474|Amplemarket|San Francisco CA  94115|Active|12/31/2026 12:00:00 AM|
DATA-00423|DFR-Data Broker|Data Broker|OWNCO LLC|8887956575|MonitorBase|Cottonwood Heights UT  84047|Active|12/31/2026 12:00:00 AM|
DATA-00424|DFR-Data Broker|Data Broker|VENNTEL INC|8555455623|Venntel|Ashburn VA  20147|Active|12/31/2026 12:00:00 AM|
DATA-00425|DFR-Data Broker|Data Broker|CONNATIX NATIVE EXCHANGE INC|2122440140||NY NY  07030|Active|12/31/2026 12:00:00 AM|
DATA-00426|DFR-Data Broker|Data Broker|IDMAP INC|7757667006||DOVER DE  19901|Active|12/31/2026 12:00:00 AM|
DATA-00427|DFR-Data Broker|Data Broker|BABEL STREET INC|7039563572||RESTON VA  20190|Active|12/31/2026 12:00:00 AM|
DATA-00428|DFR-Data Broker|Data Broker|ACREMAPS LLC|4796162630|Acres|FAYETTEVILLE AR  72701|Active|12/31/2026 12:00:00 AM|
"DATA-00429|DFR-Data Broker|Data Broker|INMAR BRAND SOLUTIONS INC|8007651277|Inmar Brand Solutions, Inc.|Winston-salem NC  27101|Active|12/31/2026 12:00:00 AM|"
DATA-00430|DFR-Data Broker|Data Broker|RESPONSE AMERICA DATA INC|8149359796||altoona PA  16602|Active|12/31/2026 12:00:00 AM|
"DATA-00431|DFR-Data Broker|Data Broker|CIRCANA LLC|3127261221|Circana, LLC|Chicago IL  60601|Active|12/31/2026 12:00:00 AM|"
DATA-00432|DFR-Data Broker|Data Broker|AGILE EDUCATION MARKETING|3035229786||Denver CO  80206|Active|12/31/2026 12:00:00 AM|
DATA-00433|DFR-Data Broker|Data Broker|NEPTUNE OPS LLC|9253936174||Lafayette CA  94549|Active|12/31/2026 12:00:00 AM|
DATA-00434|DFR-Data Broker|Data Broker|NACHAL INC|8002869021|Liminal and iFish Digital and Lead Lure|naples FL  34110|Active|12/31/2026 12:00:00 AM|
DATA-00435|DFR-Data Broker|Data Broker| VIRTUAL MARKETING LLC|8885504864|Fusion92|Chicago IL  60654|Active|12/31/2026 12:00:00 AM|
DATA-00436|DFR-Data Broker|Data Broker|UNACAST INC|8555455623|Unacast|ASHBURN VA  20147|Active|12/31/2026 12:00:00 AM|
"DATA-00437|DFR-Data Broker|Data Broker|PLUNGE, LLC|8447586434||PORTLAND OR  97239|Active|12/31/2026 12:00:00 AM|"
DATA-00438|DFR-Data Broker|Data Broker|MV DIGITAL GROUP LLC|7177520101|CinqDI|New York NY  10007|Active|12/31/2026 12:00:00 AM|
"DATA-00439|DFR-Data Broker|Data Broker|PEN-LINK LTD|4024218857|Pen-Link, Ltd.|Lincoln NE  68516|Active|12/31/2026 12:00:00 AM|"
DATA-00440|DFR-Data Broker|Data Broker|EXA LABS INC|6282503948|Exa|San Francisco CA  94110|Active|12/31/2026 12:00:00 AM|
DATA-00441|DFR-Data Broker|Data Broker|CLARIVATE ANALYTICS (US)|8552585858||ANN ARBOR MI  48108|Active|12/31/2026 12:00:00 AM|
"DATA-00442|DFR-Data Broker|Data Broker|DR/DECISION RESOURCES, LLC|8552585858||ANN ARBOR MI  48108|Active|12/31/2026 12:00:00 AM|"
DATA-00443|DFR-Data Broker|Data Broker|CLARITAS LLC|8889810040||Cincinnati OH  45236|Active|12/31/2026 12:00:00 AM|
DATA-00444|DFR-Data Broker|Data Broker|OPENSEND INC|7025532333|Opensend|LAS VEGAS NV  89128|Active|12/31/2026 12:00:00 AM|
DATA-00445|DFR-Data Broker|Data Broker|OUTWARD MEDIA INC|3102745312||Wst Hollywood CA  90069|Active|12/31/2026 12:00:00 AM|
DATA-00446|DFR-Data Broker|Data Broker|NUMLOOKUP LLC|4088632316|NumLookup.com|Atlanta GA  30327|Active|12/31/2026 12:00:00 AM|
DATA-00447|DFR-Data Broker|Data Broker| ABOVE DATA INC|9372433708|Above Data|San Anselmo CA  94960--111|Active|12/31/2026 12:00:00 AM|
DATA-00448|DFR-Data Broker|Data Broker|OWMN LLC|2129915633||Paramus NJ  07652|Active|12/31/2026 12:00:00 AM|
DATA-00449|DFR-Data Broker|Data Broker|MOBILEFUSE LLC|5164699430||Millington NJ  07946|Active|12/31/2026 12:00:00 AM|
DATA-00450|DFR-Data Broker|Data Broker|GATHER ANALYTICS LLC|8002906826||New York NY  10037|Active|12/31/2026 12:00:00 AM|
DATA-00451|DFR-Data Broker|Data Broker|ISPOT.TV|6464396900||Bellevue WA  98005|Active|12/31/2026 12:00:00 AM|
DATA-00453|DFR-Data Broker|Data Broker|WALLA MEDIA LLC|8184443006||Eugene OR  97402|Active|12/31/2026 12:00:00 AM|
DATA-00454|DFR-Data Broker|Data Broker|CIVIC ELEMENT LLC|8884176553||GRAND RAPIDS MI  49506|Active|12/31/2026 12:00:00 AM|
